sentence,entity
You can change Boolean values by using the set command with option name and true or false.,You can change B-function values by using the B-function I-function with option name and true or false.
"When you use the show payloads command, the msfconsole will return a list of compatible payloads for this exploit.","When you use the B-function I-function I-function, the B-tool will return a list of compatible B-data for this B-function."
"In the flash player exploit example, it will return quite a few compatible payloads ","In the B-vulnerability I-vulnerability example, it will return quite a few compatible B-data"
"To use a certain payload, you need to use the set command followed by the payload name","To use a certain B-data, you need to use the B-function I-function followed by the B-data name"
The show targets command will return a list of operating systems which are vulnerable to the selected exploit. ,The B-function I-function I-function will return a list of B-system I-system which are B-vulnerability to the selected B-function. 
"When you run the command, you get the following output for the adobe_flash_shader_drawing_fill exploit","When you run the B-function, you get the following output for the B-vulnerability I-vulnerability"
This exploit targets both Windows and Linux operating systems. ,This B-function B-system both B-system and B-system B-system I-system. 
Note that you can use the info command to get additional info about this exploit and targets. ,Note that you can use the B-data I-function to get additional B-data about this B-function and B-system. 
"To set a target, you can use the command set followed by the target ID","To set a B-system, you can use the B-function I-function followed by the B-feature I-feature"
"By setting the target, the list of payloads will be reduced a lot because only payloads will be shown which are compatible with the target (Linux)","By setting the B-system, the list of B-data will be reduced a lot because only B-data will be shown which are compatible with the B-system  (B-system)"
"By using the show advanced command, we can look at the advanced options for the exploit. ","By using the B-function I-function I-function, we can look at the B-feature I-feature for the B-function. "
"Use the set command, followed by the advanced parameter and the new value to change the advanced settings","Use the B-function I-function, followed by the B-feature B-feature and the new value to change the B-feature settings"
The show nops command will return a list of NOP generators,The B-function I-function I-function will return a list of B-function I-function
A NOP is short for No Operation and is used to change the pattern of a NOP sled in order to bypass simple IDS/IPS signatures of common NOP sleds.,A B-function is short for B-function I-function and is used to change the pattern of a B-function I-function in order to bypass simple B-tool / B-tool B-feature of common B-function I-function.
The NOP generators start with the CPU architecture in the name. ,The B-function I-function start with the B-system I-system in the name. 
"To use a NOP generator, use the set command, followed by the name of the NOP generator.","To use a B-function I-function, use the B-function I-function, followed by the name of the B-function I-function."
"When the exploit is launched, the NOP sleds will be taken from the NOP generator.","When the B-function is launched, the B-function I-function will be taken from the B-function I-function."
The show evasion command returns a list of available evasion techniques. ,The B-function I-function I-function returns a list of available B-technique I-technique. 
"To change evasions settings, use the set command, followed by the evasion parameter and the new value.","To change B-technique B-feature, use the B-function I-function, followed by the B-technique B-feature and the new value."
"When all the required options have been set for the exploit, including a payload and advanced settings like a NOP generator, evasion options, and encoding, the exploit is ready to be executed. ","When all the required options have been set for the B-function, including a B-data and B-feature B-feature like a B-function I-function, B-technique options, and B-function, the B-function is ready to be executed. "
The exploit can be executed using two commands: run and exploit. ,The B-function can be executed using two B-function: B-function and B-function. 
Just type run or exploit in the msfconsole and the exploit will run.,Just type B-function or B-function in the B-tool and the B-function will run.
"Metasploitable 2 is an intentionally vulnerable Linux machine downloaded and set up as a virtual machine in any hypervisor such as KVM, VMware Player, and Virtual box.","B-system I-system is an intentionally B-vulnerability B-system I-system downloaded and set up as a B-system I-system in any B-system  such as B-system, B-system I-system, and B-system I-system."
An important part of the Metasploitable 2 enumeration process is the port scanning and fingerprinting process. ,An important part of the B-system I-system enumeration process is the B-technique I-technique and B-technique I-technique. 
Port scanning is used to probe a server or host for open TPC and UDP ports. ,B-technique I-technique is used to B-technique a B-system  or B-system for B-feature B-feature and B-feature I-feature. 
Fingerprinting is the process of identifying the services connected to those ports.,B-technique is the process of identifying the B-app connected to those B-feature.
The default username/password of Metasploitable 2 is msfadmin/msfadmin.,The default B-feature of B-system I-system is B-feature
"When you log in to the vulnerable host, you can use the ifconfig command to determine its IP address. ","When you log in to the B-vulnerability B-system, you can use the B-function I-function to determine its B-feature I-feature. "
You can also use netdiscover on the Kali Linux machine to scan a range of IP addresses for the target host. ,You can also use B-tool on the B-system I-system I-system  to B-technique a range of B-feature I-feature for the B-system I-system. 
You can use the following command to start the Nmap port scan with service and OS detection,You can use the following B-function to start the B-tool B-technique I-technique with B-app and B-technique I-technique
"The Nmap port scan and service scans return a lot of open ports, listening services, and the version of the operating system","The B-tool B-technique I-technique and B-technique I-technique return a lot of B-feature I-feature, listening B-app, and the B-feature of the B-system I-system"
The Metasploitable-2 host is running Linux 2.6.9 - 2.6.33 as the operating system. ,The B-system I-system is running B-system I-system I-system I-system as the B-system I-system. 
"We can see that the host is running an SSH service using OpenSSH, a telnet service, an Apache 2.2.8 webserver, 2 SQL servers, and some more services. ","We can see that the B-system is running an B-app I-app using B-tool, a B-app I-app, an B-system I-system I-system, 2 B-system I-system, and some more B-app. "
A list of running services and their running ports are given ,A list of running B-app and their running B-feature are given 
Metasploitable 2 is intentionally vulnerable. ,B-system I-system is intentionally B-vulnerability. 
"Therefore, one can only suspect that most, if not all, of the services, contain vulnerabilities, backdoors, etc.","Therefore, one can only suspect that most, if not all, of the B-app, contain B-vulnerability, B-attack, etc."
"With user enumeration, the penetrations tester sees what users have access to the server and which users exist on the network. ","With B-vulnerability I-vulnerability, the  B-securityTeam I-securityTeam sees what B-user have access to the B-system and which B-user exist on the B-system. "
Another purpose for user enumeration is to gain access to the machine by using brute force techniques. ,Another purpose for B-vulnerability I-vulnerability is to gain access to the B-system by using B-technique I-technique I-technique. 
"Since the username is already known to the penetration tester, the only thing left to brute force is the password. ","Since the B-feature is already known to the B-securityTeam I-securityTeam, the only thing left to B-technique I-technique is the B-feature. "
There are multiple ways of enumerating users on a Linux system,There are multiple ways of B-vulnerability I-vulnerability on a B-system I-system
"To enumerate the user accounts available on the target machine, you will be using the following Nmap script","To B-function the B-feature I-feature available on the B-system I-system, you will be using the following B-function I-function"
Rpcclient is a Linux tool used for executing client-side MS-RPC functions. ,B-tool is a B-system tool used for executing B-system B-function I-function. 
A null session is a connection with a samba or SMB server that does not require authentication with a password. ,A B-feature I-feature is a B-feature with a B-system or B-system I-system that does not require B-technique with a B-feature. 
"No username or password is needed to set-up the connection, and therefore it is called a null session.","No B-feature or B-feature is needed to set-up the B-feature, and therefore it is called a B-feature I-feature."
The allowance of null sessions was enabled by default on legacy systems but has been disabled from Windows XP SP2 and Windows Server 2003. ,The allowance of B-feature I-feature was enabled by default on B-system I-system but has been disabled from B-system I-system I-system and B-system I-system I-system
"The connection uses port 445, an open port on the out target host, as we’ve seen in the port scan results","The B-feature uses B-feature I-feature, an B-feature I-feature on the out B-system I-system, as we’ve seen in the B-technique I-technique results"
Now you can open up a new terminal window and set up a null session with the Metasploitable 2 samba server,Now you can open up a new B-system B-system and set up a B-feature I-feature with the B-system I-system B-system I-system
"It will ask for a password, and you can press “enter”. ","It will ask for a B-feature, and you can press “enter”. "
Then you can use the following command to enumerate all the users in the system.,Then you can use the following B-function to B-function all the B-user in the B-system .
Enum4linux can be found on Kali Linux. ,B-tool can be found on B-system I-system. 
It is used to enumerate Windows and Samba hosts and is written in Perl. ,It is used to B-function B-system and B-system  B-system  and is written in B-tool. 
"The tool is basically a wrapper for smbclient, rpcclient, net, and nmblookup. ","The tool is basically a B-function for B-system, B-tool, net, and B-tool "
Let’s have a look at how to use enum4linux and run it on Metasploitable 2. ,Let’s have a look at how to use B-tool and run it on B-system I-system 
Below are the most common options used in enum4linux. ,Below are the most common options used in B-tool. 
"In the Metasploit console, you can gather information, such as target IP address, Operating System, ports opened, and vulnerability.","In the B-tool B-tool, you can gather B-data, such as B-system B-feature I-feature, B-system I-system, B-feature B-feature, and B-vulnerability."
Metasploit allows you to run Nmap directly from the console. ,B-tool allows you to run B-tool directly from the B-tool. 
"Nmap output contained over 600 lines; therefore, the output was shortened, leaving relevant information to be explained","B-tool B-feature contained over 600 lines; therefore, the B-feature was shortened, leaving relevant B-data to be explained"
"The following lines show us the initialized scans types, which involve NSE, ARP Ping Scan, DNS resolution, and an SYN Stealth Scan.","The following lines show us the initialized B-technique types, which involve B-tool, B-technique I-technique I-technique, B-function I-function, and an B-technique I-technique I-technique."
The next extract shows what services are available at the target,The next extract shows what B-app are available at the B-system
The following extract report NSE post scan scripts execution to find vulnerabilities,The following extract report B-tool B-function I-function I-function execution to find B-vulnerability
"As you can see, Nmap already found security holes or vulnerabilities on the target FTP service, it even links us exploits to hack the target","As you can see, B-tool already found B-vulnerability I-vulnerability or B-vulnerability on the B-system B-app I-app, it even links us B-function to B-attack the B-system"
Once you identified security holes on your target use Metasploit commands to find proper exploits against them. ,Once you identified B-vulnerability I-vulnerability on your B-system use B-tool B-function to find proper B-function against them. 
"As you saw previously one of the first vulnerabilities found was on the vsFTPD server, to find proper exploits. ","As you saw previously one of the first B-vulnerability found was on the B-system I-system, to find proper B-function. "
As you see Metasploit contains a backdoor which possibly may help us to hack our target FTP. ,As you see B-tool contains a B-attack which possibly may help us to B-attack our B-system B-feature. 
"To use this exploit, within Metasploit run","To use this B-function, within B-tool run"
"After the command shell (i.e., the backdoor) is established, then you can run command “ls” in the targeting system.","After the B-tool I-tool (i.e., the B-attack) is established, then you can run B-function B-function in the B-system I-system."
Syslog is one of the most important standards used in Linux as it is the key file which helps you determine the different level of logs which are getting generated and stored every second while you are working on your Linux box.,B-tool is one of the most important standards used in B-system as it is the key B-data which helps you determine the different level of B-data which are getting generated and stored every second while you are working on your B-system I-system.
Syslog can be taken as “System Log”. Benefits of using syslog,B-tool can be taken as B-data I-data. Benefits of using B-tool
Helps analyze the root cause for any trouble or problem caused,Helps analyze the root cause for any trouble or problem caused
Reduce overall downtime helping to troubleshoot issues faster with all the logs,Reduce overall B-feature helping to B-technique issues faster with all the B-data
Improves incident management by active detection of issues,Improves B-technique I-technique by active B-technique of B-vulnerability
Self-determination of incidents along with auto resolution,Self-determination of B-attack along with B-technique I-technique
"Simplified architecture with different level of severity like error,info,warning, etc.","Simplified B-system with different level of B-feature like B-data, B-data ,B-data, etc."
The syslog.conf file is the main configuration file for the syslogd which logs system messages on Unix/Linux Systems. ,The B-data I-data is the main B-data I-data for the B-data which B-function B-data I-data on B-system B-system. 
This file specifies rules for logging.,This B-data specifies B-function for B-function.
"However, in this lab, we use syslog terms to illustrate the basic concepts and use rsyslog as the working logging system, which is the default system log on Ubuntu Linux distribution.
","However, in this lab, we use B-tool terms to illustrate the basic concepts and use B-tool as the working B-tool I-tool, which is the default B-data I-data on B-system I-system I-system.
"
"When configure syslog (syslog.conf is the one for syslogd and rsyslog configures are set up in the /etc/rsyslog.d/ folder), every rule consists of two fields, a selector field and an action field. ","When B-function B-tool (B-data is the one for B-data and B-tool B-function are set up in the B-feature B-data), every B-function consists of two B-feature, a B-feature I-feature and an B-feature I-feature. "
These two fields are separated by one or more spaces or tabs. ,These two B-feature are separated by one or more spaces or tabs. 
The selector field specifies a pattern of facilities and priorities belonging to the specified action.,The B-feature I-feature specifies a pattern of facilities and priorities belonging to the specified B-feature.
"The selector field itself again consists of two parts, a facility and a priority, separated by a period","The B-feature I-feature itself again consists of two parts, a B-system and a B-feature, separated by a period"
"The facility is one of the following keywords: auth, authpriv, cron, daemon, kern, lpr, mail, mark, news, security (same as auth), syslog, user, uucp and local0 through local7. ","The B-feature is one of the following keywords: B-feature, B-feature, B-feature, B-tool, B-app, B-system , B-app, B-feature, B-feature, B-technique(same as B-feature), B-tool, B-user, B-feature and B-feature through B-feature. "
The keyword security should not be used anymore and mark is only for internal use and therefore should not be used in applications.,The keyword B-technique should not be used anymore and mark is only for internal use and therefore should not be used in B-app.
You may want to specify and redirect these messages here,You may want to specify and redirect these B-data here
"The facility specifies the subsystem that produced the message, i.e., all mail programs log with the mail facility (LOG MAIL) if they log using syslog. ","The B-system specifies the B-system that produced the B-data, i.e., all B-app I-app B-function with the B-app B-system (B-app I-app) if they B-function using B-tool. "
"The priority is one of the following keywords, in ascending order: debug, info, notice, warning, warn (same as warning), err, error (same as err), crit, alert, emerg, panic (same as emerg). ","The B-feature is one of the following keywords, in ascending order: B-technique, B-data, B-data, B-data, B-feature (same as B-data), B-feature, B-data(same as B-data), B-feature, B-data, B-feature, B-feature(same as B-feature). "
"The keywords error, warn and panic are deprecated and should not be used anymore.","The keywords B-data, B-feature and B-feature are deprecated and should not be used anymore."
The priority defines the severity of the message,The B-feature defines the B-feature of the B-data
Multiple selectors may be specified for a single action using the semicolon (“;”) separator. ,Multiple B-feature may be specified for a single action using the semicolon (“;”) separator. 
The following presented modifications provide network support to the syslogd facility. ,The following presented modifications provide B-technique I-technique to the B-data B-system. 
"For examples, if we want to log all the critical events on your Linux machine in a separate log file inside /var/log with a name of critical.log ","For examples, if we want to B-function all the B-feature events on your B-system I-system in a separate B-data I-data inside B-feature with a name of B-data"
Log all the kernel related messages in separate log file,B-function all the B-app related B-data in separate B-data I-data
Redirect all the error logs to a remote user on their terminals,Redirect all the B-data B-data to a B-feature B-user on their B-system
Log all the firewall warning level messages,B-function all the B-tool B-data level B-data
Network support means that messages can be forwarded from one node running syslogd to another node running syslogd where they will be actually logged to a disk file.,B-technique I-technique means that B-data can be forwarded from one B-system running B-data to another B-system running B-data where they will be actually B-function to a B-data I-data.
The strategy is to have syslogd listen on a Unix/Linux domain socket for locally generated log messages. ,The strategy is to have B-data listen on a B-system B-feature I-feature for locally generated B-data I-data. 
This behavior will allow syslogd to inter-operate with the syslog found in the standard C library. ,This behavior will allow B-data to inter-operate with the B-tool found in the B-app I-app I-app. 
At the same time syslogd listens on the standard syslog port for messages forwarded from other hosts. ,At the same time B-data listens on the standard B-app B-feature for B-data forwarded from other B-system. 
"If this entry is missing syslogd neither can receive remote messages nor send them, because the UDP port cannot be opened. ","If this entry is missing B-data neither can receive B-feature B-data nor send them, because the B-feature I-feature cannot be opened. "
"Instead, syslogd will die immediately, blowing out an error message. ","Instead, B-app will die immediately, blowing out an B-data I-data. "
"For example, to forward ALL messages to a remote host uses the following syslog.conf entry","For example, to forward ALL B-data to a remote host uses the following syslog.conf entry"
To forward all kernel messages to a remote host the configuration file,To forward all B-app B-data to a B-system I-system the B-data I-data
The implementation of syslog on Ubuntu is rsyslogd. ,The implementation of B-app on B-system is B-data
To determine if rsyslogd is installed on Ubuntu,To determine if B-data is installed on B-system 
A common rsyslogd status checking reply ,A common B-data status checking reply 
How to modify the iptables rules to let it log at the appropriate level,How to modify the B-app B-function to let it log at the appropriate level
How to configure syslog to log the iptables messages to a different log file?,How to B-function B-data to B-function the B-app B-data to a different B-data I-data?
To stop iptables messages to get logged into /var/log/messages ,To stop B-app B-data to get B-function into B-feature
Assume that you are currently logging all the firewall warning level messages ,Assume that you are currently B-function all the B-tool B-data level B-data
"Restart the rsyslog, and make sure that there are no errors","B-function the B-tool, and make sure that there are no B-data"
Make sure the iptables rule is logging at the appropriate level. ,Make sure the B-app B-function is B-function at the appropriate level. 
This can be done by using the log-level switch. ,This can be done by using the B-function I-function. 
Run ssh and ping to test your firewall logs ,Run B-function and B-function to test your B-tool B-data
If you want to print your iptables logs on your monitoring console,If you want to B-function your B-app B-data on your B-technique B-tool
Assume that you are currently logging all the kernel related messages in separate log file ,Assume that you are currently B-function all the B-app related B-data in separate B-data I-data
"In ubuntu distribution, rsyslogd is the default system log implementation compared to its precursor syslogd. ","In B-system I-system, B-data is the default B-data I-data implementation compared to its precursor B-data. "
"In this lab, you will learn and practice on how to setup rsyslog forwarding from a client to a centralized server. ","In this lab, you will learn and practice on how to B-system  B-tool B-feature from a B-system to a B-system I-system. "
"The syslog basics are presented in the Syslog (syslogd) Local Logging on Linux. Since rsyslog is a successor of syslog, the basic concepts of log facilities, actions, and priority are the same.","The B-tool bases are presented in the B-tool (B-data) B-feature B-function on B-system. Since B-tool is a successor of B-tool, the basic concepts of B-data B-system, B-feature, and B-feature are the same."
"On Ubuntu system, instead of using syslog.conf, rsyslog uses rsyslog as it configuration file.","On B-system I-system, instead of using B-data I-data, B-tool uses B-tool as it B-data I-data."
Detailed rsyslog configuration files are maintained under /etc/rsyslog.d/ folder. ,Detailed B-tool B-data I-data are maintained under B-feature B-data. 
"Default rsyslog setup configurations are maintained in the file 50-default.conf, which is similar to syslog.conf using syslogd. ","B-feature B-tool B-feature I-feature are maintained in the B-data B-data, which is similar to B-data using B-data. "
"In the following sections Selectors, Facility, and Severity Levels, we use the same descriptions
","In the following sections B-feature, B-system, and B-feature I-feature, we use the same B-feature
"
Logs are stored at /var/log/ on the Linux filesystem. ,B-data are stored at B-feature on the B-system B-system. 
"At this location, you should see multiple log files, each one having a name describing what they actually store. ","At this B-system , you should see multiple B-data I-data, each one having a name describing what they actually store. "
"In this example, you have dedicated log files for authentication purposes or for kernel related logs. ","In this example, you have dedicated B-data I-data for B-technique purposes or for B-app related B-data. "
"The folder /var/log does not contain only files, but it also contain dedicated folders that vendors create when the application is installed.","The B-data B-feature does not contain only B-data, but it also contain dedicated B-data that B-user create when the B-app is B-function"
"Suppose that three machines are sending logs to the log server, each machine is going to have its own own auth.log, kern.log or dpkg.log files.","Suppose that three B-system are sending B-data to the B-system I-system, each B-system is going to have its own B-data, B-data or B-data B-data."
"Each machine (i.e., a client) wants to write logs via rsyslog. To this end, each machine is configured as client-server syslog instances. ","Each B-system  (i.e., a B-system) wants to write B-data via B-tool. To this end, each B-system is B-function as B-system B-tool B-system. "
"They can create logs and store logs locally in their file system. In the centralized logging architecture, client machines will be configured to use rsyslog as a client, and they will forward every single log to a remote rsyslog server","They can create B-data and store B-data locally in their B-system I-system. In the B-system I-system I-system, B-system I-system will be B-function to use B-tool as a B-system, and they will B-feature every single B-data to a B-system I-system I-system"
which is the central server,which is the B-system I-system
"Compared to syslog, rsyslog tries to address the following improved features","Compared to B-tool, B-tool tries to address the following improved features"
Secure transmitted log data: implement TLS to protect data transmission,B-feature B-feature B-data I-data: implement B-technique to B-feature B-feature I-feature
Increase the reliability: implement a memory caching module to address when the network is down,Increase the B-technique: implement a B-technique I-technique B-function to address when the B-system is B-feature
"Using the centralized logging architecture, we can achieve the following benefits","Using the B-system I-system I-system, we can achieve the following benefits"
Inspect all your logs from a single place instead of accessing individual machine,B-technique all your B-data from a single place instead of accessing individual B-system
Access to logs without access privilege to individual machines.,B-feature to B-data without B-feature I-feature to individual B-system.
Set up a complete log monitoring infrastructure in one place to improve the network management capability,Set up a complete B-technique I-technique B-system in one place to improve the B-technique I-technique capability
The downside of using centralized logging server,The downside of using B-system I-system I-system
"The syslog server can be overloaded: with this architecture, you are pushing logs to a remote server. ","The B-system I-system can be overloaded: with this B-system, you are pushing B-data to a B-system I-system. "
"if one machine starts sending excessive amount of log data, it may overload the log server.","if one B-system starts sending excessive amount of B-data I-data, it may overload the B-system I-system"
The centralized system suffers single-point failure. ,The B-system I-system suffers B-feature I-feature. 
"If the log server goes down, then the ability to look at all the logs sent by the clients is lost. ","If the B-system I-system goes down, then the ability to look at all the B-data sent by the B-system is lost. "
"Moreover, if the server goes down, clients will start storing messages locally until the server is available again, thus it may fill up disk space on the client side.","Moreover, if the B-system goes down, B-system will start storing B-data B-feature until the B-system is available again, thus it may fill up B-system I-system on the B-system I-system."
The implementation of syslog on Ubuntu is rsyslogd. ,The implementation of B-tool on B-system is B-data
To determine if rsyslogd is installed on Ubuntu,To determine if B-data is installed on B-system
"First of all, you have to configure your rsyslog server for it to accept incoming logs on port 514. ","First of all, you have to B-function your B-system I-system for it to accept incoming B-data on B-feature I-feature. "
We are going to use TCP for log transmission. ,We are going to use B-feature for B-feature I-feature. 
You can use UDP if the network reliability is not a big concern. ,You can use B-feature if the B-technique I-technique is not a big concern. 
This is the directory that stores templates as well as files that contain the rsyslog rules.,This is the B-data that stores B-feature as well as B-data that contain the B-function I-function
"In this directory, there is a 50-default.conf file. ",In this B-data there is a B-data I-data
"You are going to create your own configuration file, prefixing
it with a number lower than the configuration file one. ","You are going to create your own B-data I-data, prefixing
it with a number lower than the B-data I-data one. "
"In this way, your configuration file takes priority over the default one.","In this way, your B-data I-data takes priority over the B-feature one."
"Remote Server means to send for every facility, and every severity to the remote server template","B-system I-system means to send for every B-system, and every B-feature to the B-system I-system B-feature"
rsyslog properties and they together identify the path where data will be stored on the remote server.,B-tool properties and they together identify the B-feature where B-data will be stored on the B-system I-system.
"With this syntax, log files will be grouped by hostname, a.k.a., the computer name sending the log, and then by syslog facility (kern, user, auth etc.). ","With this syntax, B-data I-data will be grouped by B-feature, a.k.a., the B-feature I-feature sending the B-data, and then by B-tool B-system  (B-app, B-user, B-feature etc.). "
"Now, you can restart the rsyslog server, and make sure that it is now listening on the port 514 for TCP","Now, you can B-function the B-system I-system, and make sure that it is now B-feature on the B-feature I-feature for B-feature"
"With this configuration file, server logs are no longer directly stored  ","With this B-data I-data, B-system B-data are no longer directly stored  "
hostname being the current name of the host ,B-feature being the current name of the B-system
"Now, let’s configure rsyslog as a client, and on the client machine","Now, let’s B-function B-tool as a B-system and on the B-system I-system"
Similarly to the procedure done on the server-side ,Similarly to the procedure done on the B-system
"Restart the rsyslog server, and make sure that there are no errors on the client-side.","B-function the B-system I-system, and make sure that there are no B-data on the B-system"
"Now, on the server side, folder is created for the client with the hostname ”ubuntu”. ","Now, on the B-system I-system, B-data is created for the B-system with the B-feature B-system. "
You are successfully received the log file from the client.,You are successfully received the B-data I-data from the B-system.
"Now, you can practice a customized logging service for one of your client. ","Now, you can practice a customized B-app I-app for one of your B-system. "
"In this task, we assume that you want to send a subset of logs captured on your client to the log server. ","In this task, we assume that you want to send a subset of B-data captured on your B-system to the B-system I-system "
Assume that you are currently logging all the kernel related messages in separate log file ,Assume that you are currently B-function all the B-app related B-data in separate B-data I-data
Assume that you are currently logging all the firewall warning level messages ,Assume that you are currently B-function all the B-tool B-data level B-data
"Restart the rsyslog server, and make sure that there are no errors on the client-side.","B-function the B-system I-system, and make sure that there are no B-data on the B-system"
How to modify the iptables rules to let it log at the appropriate level,How to modify the B-app B-function to let it B-function at the appropriate level
How to configure syslog to log the iptables messages to a different log file?,How to B-function B-tool to B-function the B-app B-data to a different B-data I-data?
To stop iptables messages to get logged into a remote server?,To stop B-app B-data to get B-function into a B-system I-system?
Make sure the iptables rule is logging at the appropriate level. ,Make sure the B-app B-function is B-function at the appropriate level. 
This can be done by using the log-level switch. ,This can be done by using the B-function I-function. 
Default log-level is warning. ,B-feature B-feature is B-data. 
"Now, you can run ssh and ping to test your firewall logs received at the server side.","Now, you can B-function B-function and B-function to B-function your B-tool B-data received at the B-system I-system."
